City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
saint pete beach,27.7253,-82.7412,86,74,1,1.01,US,1627438732
cumana,10.4635,-64.1775,80.69,88,12,7.96,VE,1627438732
te anau,-45.4167,167.7167,51.82,72,96,2.98,NZ,1627438732
kariba,-16.5167,28.8,53.17,58,0,2.68,ZW,1627438732
airai,-8.9266,125.4092,74.14,34,91,4.61,TL,1627438733
yeppoon,-23.1333,150.7333,76.78,56,84,6.64,AU,1627438733
san patricio,28.017,-97.5169,84.88,65,30,8.57,US,1627438733
kresttsy,58.2452,32.5165,60.98,85,100,5.41,RU,1627438734
bandarbeyla,9.4942,50.8122,79.29,51,46,27.54,SO,1627438734
nehe,48.4833,124.8333,76.46,74,21,6.8,CN,1627438734
lebu,-37.6167,-73.65,45.86,80,0,21.88,CL,1627438735
harindanga,22.0383,88.3214,82.38,87,100,12.62,IN,1627438735
dunhua,43.3725,128.2425,85.84,58,0,1.97,CN,1627438735
east london,-33.0153,27.9116,64.8,78,1,14.7,ZA,1627438466
niamey,13.5137,2.1098,77.29,94,0,3.44,NE,1627438736
saint-pierre,-21.3393,55.4781,67.68,81,90,19.57,RE,1627438469
kedrovyy,56.1667,91.8167,55.81,72,100,3.62,RU,1627438736
koshurnikovo,54.1667,93.3,59.29,95,100,5.82,RU,1627438736
santa maria,-29.6842,-53.8069,43.9,53,0,10.36,BR,1627438543
zhangye,38.9342,100.4517,81.45,21,16,4.16,CN,1627438737
haines junction,60.7522,-137.5108,64.35,52,43,10.36,CA,1627438737
vaitupu,,,,,,,,
carnarvon,-24.8667,113.6333,66.27,55,90,8.05,AU,1627438738
larap,14.299,122.6504,87.37,68,100,10.47,PH,1627438738
sorland,67.667,12.6934,55.49,88,8,10.13,NO,1627438738
kruisfontein,-34.0033,24.7314,52.88,84,35,14.23,ZA,1627438739
alofi,-19.0595,-169.9187,73.29,94,75,6.91,NU,1627438739
tuktoyaktuk,69.4541,-133.0374,53.6,71,75,5.75,CA,1627438739
artyk,,,,,,,,
aykhal,66,111.5,84.15,34,44,6.17,RU,1627438740
phatthalung,7.5,100.0833,87.75,66,59,8.52,TH,1627438740
cayenne,4.9333,-52.3333,82.09,81,6,5.01,GF,1627438740
kapaa,22.0752,-159.319,85.98,75,75,3,US,1627438741
rungata,,,,,,,,
sembakung,3.8167,117.25,85.93,65,100,2.21,ID,1627438741
alyangula,-13.8483,136.4192,79.65,65,70,5.01,AU,1627438741
saint anthony,45.0205,-93.218,87.75,72,1,1.01,US,1627438742
yulara,-25.2406,130.9889,71.44,35,40,6.91,AU,1627438742
santiago del estero,-27.7951,-64.2615,49.03,38,4,3.44,AR,1627438742
kovdor,67.5662,30.4758,55.45,95,6,2.53,RU,1627438743
camacupa,-12.0167,17.4833,50.86,39,93,2.46,AO,1627438743
bima,-8.4667,118.7167,86.76,54,23,4.99,ID,1627438743
dicabisagan,17.0818,122.4157,87.03,67,100,4.47,PH,1627438743
coquimbo,-29.9533,-71.3436,49.73,93,0,4.61,CL,1627438744
port blair,11.6667,92.75,82.81,83,100,19.39,IN,1627438744
rock sound,24.9,-76.2,83.39,74,72,7.2,BS,1627438744
ponta do sol,32.6667,-17.1,70.43,78,4,4.88,PT,1627438744
arlit,18.7369,7.3853,83.25,52,54,7.36,NE,1627438745
kaman,27.65,77.2667,79.34,91,100,7.09,IN,1627438745
slave lake,55.2834,-114.769,71.58,53,1,6.91,CA,1627438745
voh,-20.9667,164.7,78.04,42,0,5.17,NC,1627438746
dali,25.7,100.1833,70.02,81,77,0.81,CN,1627438746
inta,66.0317,60.1659,42.62,96,100,3.71,RU,1627438746
safaga,26.7292,33.9365,87.67,39,87,10.54,EG,1627438746
obidos,-1.9175,-55.5181,78.69,55,27,4.5,BR,1627438747
yenagoa,4.9247,6.2642,72.45,89,89,3.6,NG,1627438747
attawapiskat,,,,,,,,
socorro,31.6546,-106.3033,92.39,23,20,0,US,1627438747
french harbor,16.35,-86.4333,81,85,63,1.01,HN,1627438748
cidreira,-30.1811,-50.2056,47.19,56,4,18.23,BR,1627438748
saldanha,-33.0117,17.9442,55.29,67,100,5.82,ZA,1627438748
tando jam,25.4272,68.5362,83.14,77,100,22.97,PK,1627438749
norcasia,5.5778,-74.8852,71.73,87,92,2.59,CO,1627438749
huarmey,-10.0681,-78.1522,65.57,86,38,10.13,PE,1627438749
adelaide,-34.9333,138.6,56.86,79,20,17.27,AU,1627438749
la paz,-16.5,-68.15,44.58,81,40,4.61,BO,1627438737
bonfim,3.0833,-59.95,75.13,89,93,12.75,BR,1627438750
lauro muller,-28.3928,-49.3967,44.42,81,15,4.63,BR,1627438750
turukhansk,65.8167,87.9833,53.11,92,100,6.91,RU,1627438751
tambovka,50.0969,128.0489,77.11,64,90,12.77,RU,1627438751
sorvag,,,,,,,,
vila franca do campo,37.7167,-25.4333,68.41,88,10,7.76,PT,1627438751
victor harbor,-35.5667,138.6167,57.47,67,9,4,AU,1627438752
turayf,31.6725,38.6637,77.72,40,0,8.21,SA,1627438484
walvis bay,-22.9575,14.5053,56.08,71,0,1.14,NA,1627438752
lowestoft,52.4752,1.7516,61.95,94,56,10.45,GB,1627438753
pevek,69.7008,170.3133,37.18,89,98,8.43,RU,1627438753
bargal,,,,,,,,
hwange,-18.3693,26.5019,51.17,67,0,3.98,ZW,1627438753
linchuan,,,,,,,,
praia da vitoria,38.7333,-27.0667,72.75,94,75,6.49,PT,1627438754
kytlym,,,,,,,,
limbang,4.75,115,88.11,61,97,4.27,MY,1627438754
zhezkazgan,47.8043,67.7144,66.7,36,1,12.08,KZ,1627438755
puerto suarez,-18.95,-57.8,57.81,47,51,8.05,BO,1627438755
skjervoy,70.0311,20.9714,49.3,92,78,3.56,NO,1627438755
moissala,8.3404,17.7663,68.5,99,100,3.38,TD,1627438756
richards bay,-28.783,32.0377,60.55,69,0,14.58,ZA,1627438611
stromness,58.965,-3.296,55.65,95,100,13.73,GB,1627438756
mahibadhoo,3.7833,72.9667,82.22,75,100,11.36,MV,1627438756
kalabo,-14.97,22.6814,46.67,66,7,5.64,ZM,1627438757
mareeba,-17,145.4333,77.49,63,0,5.08,AU,1627438757
saleaula,,,,,,,,
rio grande,-32.035,-52.0986,40.95,63,4,20.36,BR,1627438688
half moon bay,37.4636,-122.4286,89.74,65,20,8.05,US,1627438758
forestville,38.8451,-76.875,81.25,76,1,4.61,US,1627438758
san vicente,-26.6167,-54.1333,36.19,61,0,4.25,AR,1627438758
taltal,-25.4,-70.4833,55.98,78,1,3.94,CL,1627438758
tshikapa,-6.4167,20.8,61.84,32,62,1.48,CD,1627438759
longyearbyen,78.2186,15.6401,42.64,93,75,10.36,SJ,1627438759
flinders,-34.5833,150.8552,77.05,45,48,1.01,AU,1627438759
lawrenceburg,38.0373,-84.8966,79.02,86,1,0,US,1627438760
bowen,-20.0167,148.2333,73.65,57,5,9.64,AU,1627438760
extrema,-22.8547,-46.3183,60.62,52,85,1.45,BR,1627438760
arkhangelskoye,55.8549,35.3287,61.43,90,98,3.89,RU,1627438760
viedma,-40.8135,-62.9967,43.99,69,90,18.32,AR,1627438580
peniche,39.3558,-9.3811,66.72,89,0,18.5,PT,1627438761
atbasar,51.8,68.3333,61.27,49,6,7.2,KZ,1627438761
mawlaik,23.6333,94.4167,76.24,98,100,1.23,MM,1627438762
liaocheng,36.4439,115.9647,76.78,86,100,10.74,CN,1627438762
diego de almagro,-26.3667,-70.05,49.77,43,0,1.95,CL,1627438762
bonoua,5.2741,-3.595,74.82,84,100,7.52,CI,1627438762
whitehorse,60.7161,-135.0538,62.02,63,40,15.99,CA,1627438763
hami,42.8,93.45,93.56,14,15,12.35,CN,1627438763
florianopolis,-27.6146,-48.5012,57.43,69,75,1.99,BR,1627438565
mandera,3.9366,41.867,74.88,63,100,15.95,KE,1627438763
orlik,52.5178,99.825,65.93,75,56,2.51,RU,1627438658
biak,-0.9131,122.8766,81.75,71,89,6.98,ID,1627438764
bilma,18.6853,12.9164,86.63,48,97,8.57,NE,1627438764
vestmanna,62.1564,-7.1664,49.12,100,90,6.91,FO,1627438765
hamilton,39.1834,-84.5333,78.42,79,1,0,US,1627438765
havoysund,70.9963,24.6622,43.68,88,92,4.47,NO,1627438765
kenai,60.5544,-151.2583,68.02,72,1,24.16,US,1627438765
geraldton,-28.7667,114.6,66.13,82,90,9.22,AU,1627438766
pisco,-13.7,-76.2167,62.65,82,0,14.97,PE,1627438766
bonavista,48.6499,-53.1147,65.12,98,100,17.45,CA,1627438766
goma,-1.6792,29.2228,61.65,72,34,1.88,CD,1627438767
ulaangom,49.9811,92.0667,69.58,52,0,7.61,MN,1627438767
muravlenko,63.7898,74.523,54.07,85,75,10.54,RU,1627438767
gandai,21.6667,81.1,75.6,88,100,9.44,IN,1627438767
omsukchan,62.5333,155.8,45.84,67,100,8.41,RU,1627438768
thunder bay,48.4001,-89.3168,72.99,71,75,3.44,CA,1627438768
suntar,62.1444,117.6319,81.41,42,7,5.23,RU,1627438768
utiroa,,,,,,,,
lock haven,41.137,-77.4469,76.15,77,61,4.43,US,1627438769
salalah,17.0151,54.0924,77.09,100,90,9.22,OM,1627438769
chicama,-7.8447,-79.1469,67.19,85,80,6.29,PE,1627438769
leh,34.1667,77.5833,64.6,53,99,2.01,IN,1627438770
grants pass,42.439,-123.3284,80.44,61,75,1.01,US,1627438770
manali,13.1667,80.2667,86.09,60,100,14,IN,1627438770
fomboni,-12.28,43.7425,76.35,67,2,16.55,KM,1627438771
chapleau,47.8405,-83.4034,56.84,67,11,4.72,CA,1627438771
wuda,39.4994,106.7117,78.44,41,6,7.56,CN,1627438771
nuuk,64.1835,-51.7216,50.61,62,17,13.8,GL,1627438771
martyush,56.4,61.8819,49.96,71,5,10.02,RU,1627438772
kodiak,57.79,-152.4072,62.11,55,90,4.61,US,1627438772
fortuna,40.5982,-124.1573,75.42,84,100,4.74,US,1627438772
saint george,37.1041,-113.5841,93.63,28,1,3,US,1627438772
salme,28.0369,85.0942,66.49,84,99,1.39,NP,1627438773
conceicao do araguaia,-8.2578,-49.2647,72.21,43,0,2.51,BR,1627438773
caracuaro,19.0106,-101.1264,75.7,80,84,1.39,MX,1627438773
soyo,-6.1349,12.3689,72.79,88,98,8.61,AO,1627438774
itoman,26.1247,127.6694,88.18,82,40,13.8,JP,1627438774
pathein,16.7833,94.7333,83.03,85,100,13.33,MM,1627438774
shubarshi,48.5872,57.1869,69.28,37,100,13.87,KZ,1627438774
samarai,-10.6167,150.6667,78.96,87,88,15.73,PG,1627438775
kuchinarai,16.541,104.05,85.71,78,100,11.48,TH,1627438775
iqaluit,63.7506,-68.5145,49.69,61,40,10,CA,1627438775
hvolsvollur,63.7533,-20.2243,48.81,89,55,4.85,IS,1627438776
leningradskiy,69.3833,178.4167,33.8,98,100,10.11,RU,1627438776
port elizabeth,-33.918,25.5701,55.09,81,37,15.86,ZA,1627438485
burica,,,,,,,,
przeworsk,50.0591,22.4941,64.44,88,31,4.81,PL,1627438512
wajima,37.4,136.9,83.08,69,75,5.75,JP,1627438777
muisne,0.6,-80.0333,75.58,85,100,6.24,EC,1627438777
goranboy,40.6103,46.7897,75.49,77,31,9.15,AZ,1627438777
algeciras,36.1333,-5.4505,74.97,100,90,6.91,ES,1627438723
kyzyl-suu,42.3414,78.0056,71.47,53,42,1.3,KG,1627438778
casper,42.8666,-106.3131,91.99,13,1,5.99,US,1627438778
el limon,10.3059,-67.6321,71.53,92,71,3.09,VE,1627438779
miandrivazo,-19.5167,45.4667,61.88,41,0,4.23,MG,1627438779
berbera,10.4396,45.0143,86.88,45,100,25.77,SO,1627438779
